id,x,y,title,url,htrc86,htrc6
loc.ark+=13960=t01z4nt6s,446.96484,195.85075,"Some well-known mental test evaluated and compared,",http://hdl.handle.net/2027/loc.ark/13960/t01z4nt6s,false,false
loc.ark+=13960=t03x8rr1h,484.02557,315.04975,"Some fundamental veritie in education,",http://hdl.handle.net/2027/loc.ark/13960/t03x8rr1h,false,false
loc.ark+=13960=t03x90n1f,498.136144887218,227.669159360902,A century of prices;,http://hdl.handle.net/2027/loc.ark/13960/t03x90n1f,false,false
loc.ark+=13960=t04x5xs16,477.450583,257.8224566,"Fundamentals of education,",http://hdl.handle.net/2027/loc.ark/13960/t04x5xs16,false,false
loc.ark+=13960=t08w3hq6w,249.52077,321.19403,National politics.,http://hdl.handle.net/2027/loc.ark/13960/t08w3hq6w,false,false
loc.ark+=13960=t08w41t1d,446.96484,195.85075,"Standard method of testing juvenile mentality by the Binet-Simon scale, with the original questions, pictures, and drawings; a uniform procedure and analysis, by Norbert J. Melville ... With an introduction by William Healy.",http://hdl.handle.net/2027/loc.ark/13960/t08w41t1d,false,false
loc.ark+=13960=t09w16247,477.450583,257.8224566,"Educational foundations of trade and industry,",http://hdl.handle.net/2027/loc.ark/13960/t09w16247,false,false
loc.ark+=13960=t0gt6767n,484.02557,315.04975,Education as a science. By Alexander Bain.,http://hdl.handle.net/2027/loc.ark/13960/t0gt6767n,false,false
loc.ark+=13960=t0ht34f86,477.450583,257.8224566,"Philosophy of education, a survey of fundamentals, topics, questions, references and bibliographies for group-discussion [by] Daniel Bell Leary.",http://hdl.handle.net/2027/loc.ark/13960/t0ht34f86,false,false
loc.ark+=13960=t0jt0g540,477.450583,257.8224566,"Composition in the elementary schools,",http://hdl.handle.net/2027/loc.ark/13960/t0jt0g540,false,false
loc.ark+=13960=t0ks75410,485.834151666667,318.776244,"The dream of Gerontius,",http://hdl.handle.net/2027/loc.ark/13960/t0ks75410,false,false
loc.ark+=13960=t0ms4bn5w,487.85944,318.736317,The Gary public schools;,http://hdl.handle.net/2027/loc.ark/13960/t0ms4bn5w,false,false
loc.ark+=13960=t0ms4bq9q,477.450583,257.8224566,"Transfer of training and retroaction, a comparative study ...",http://hdl.handle.net/2027/loc.ark/13960/t0ms4bq9q,false,false
loc.ark+=13960=t0ms4gw1r,486.58148,273.883083,Ireland: vital hour by Arthur Lynch with a photogravure frontispiece and maps.,http://hdl.handle.net/2027/loc.ark/13960/t0ms4gw1r,false,false
loc.ark+=13960=t0ns16j33,423.96167,240.089552,"Basket ball for women as adopted by the Conference on physical training, held in June, 1899, at Springfield, Mass.",http://hdl.handle.net/2027/loc.ark/13960/t0ns16j33,false,false
loc.ark+=13960=t0qr59q0x,482.200714298246,299.4762566754386,"The American engineers in France, by William Barclay Parsons.",http://hdl.handle.net/2027/loc.ark/13960/t0qr59q0x,false,false
loc.ark+=13960=t0tq6154b,249.52077,321.19403,National politics.,http://hdl.handle.net/2027/loc.ark/13960/t0tq6154b,false,false
loc.ark+=13960=t0tq6j58g,484.02557,315.04975,"The philosophy of education; or, The principles and practice of teaching, by T. Tate ... Edited by Edward E. Sheib.",http://hdl.handle.net/2027/loc.ark/13960/t0tq6j58g,false,false
loc.ark+=13960=t0tq6nf0f,477.450583,257.8224566,"Growth during school age,",http://hdl.handle.net/2027/loc.ark/13960/t0tq6nf0f,false,false
loc.ark+=13960=t0vq3q15g,480.191696,226.5721406,"A preliminary bibliography of modern criminal law and criminology, by John H. Wigmore.",http://hdl.handle.net/2027/loc.ark/13960/t0vq3q15g,false,false
loc.ark+=13960=t13n2mh9t,477.450583,257.8224566,"The sentence method of teaching reading, writing and spelling. A manual for teachers, by George L. Farnham.",http://hdl.handle.net/2027/loc.ark/13960/t13n2mh9t,false,false
loc.ark+=13960=t15m6v11c,487.85944,318.736317,Educational guide;,http://hdl.handle.net/2027/loc.ark/13960/t15m6v11c,false,false
loc.ark+=13960=t15m6z72s,477.450583,257.8224566,"Our boys; a study of the 245,000 sixteen, seventeen, and eighteen year old employed boys of the state of New York,",http://hdl.handle.net/2027/loc.ark/13960/t15m6z72s,false,false
loc.ark+=13960=t15m6zs4x,477.450583,257.8224566,"A comparative study of the curricula for men and women in the colleges and universities of the United States, by Marguerite Witmer Kehr.",http://hdl.handle.net/2027/loc.ark/13960/t15m6zs4x,false,false
loc.ark+=13960=t16m3w001,484.02557,315.04975,"Educating by story-telling; showing the value of story-telling as an educational tool for the use of all workers with children, by Katherine Dunlap Cather ...",http://hdl.handle.net/2027/loc.ark/13960/t16m3w001,false,false
loc.ark+=13960=t17m0ww4s,484.02557,315.04975,"Systematic methodology, designed to rationalize and harmonize teaching processes; by Andrew Thomas Smith...",http://hdl.handle.net/2027/loc.ark/13960/t17m0ww4s,false,false
loc.ark+=13960=t18k81j8w,446.96484,195.85075,"The Stanford revision and extension of the Binet-Simon scale for measuring intelligence,",http://hdl.handle.net/2027/loc.ark/13960/t18k81j8w,false,false
